name,last_name,type_document_id,document_id,email,phone,student_state,headquarter_name,amount_1_1,amount_1_10,amount_1_2,amount_1_3,amount_1_4,amount_1_5,amount_1_6,amount_1_7,amount_1_8,amount_1_9,amount_2_1,amount_2_10,amount_2_2,amount_2_3,amount_2_4,amount_2_5,amount_2_6,amount_2_7,amount_2_8,amount_2_9,amount_3_1,amount_3_10,amount_3_2,amount_3_3,amount_3_4,amount_3_5,amount_3_6,amount_3_7,amount_3_8,amount_3_9,concept_1_1,concept_1_10,concept_1_2,concept_1_3,concept_1_4,concept_1_5,concept_1_6,concept_1_7,concept_1_8,concept_1_9,concept_2_1,concept_2_10,concept_2_2,concept_2_3,concept_2_4,concept_2_5,concept_2_6,concept_2_7,concept_2_8,concept_2_9,concept_3_1,concept_3_10,concept_3_2,concept_3_3,concept_3_4,concept_3_5,concept_3_6,concept_3_7,concept_3_8,concept_3_9,payment_method_1_1,payment_method_1_10,payment_method_1_2,payment_method_1_3,payment_method_1_4,payment_method_1_5,payment_method_1_6,payment_method_1_7,payment_method_1_8,payment_method_1_9,payment_method_2_1,payment_method_2_10,payment_method_2_2,payment_method_2_3,payment_method_2_4,payment_method_2_5,payment_method_2_6,payment_method_2_7,payment_method_2_8,payment_method_2_9,payment_method_3_1,payment_method_3_10,payment_method_3_2,payment_method_3_3,payment_method_3_4,payment_method_3_5,payment_method_3_6,payment_method_3_7,payment_method_3_8,payment_method_3_9,receipt_number_1_1,receipt_number_1_10,receipt_number_1_2,receipt_number_1_3,receipt_number_1_4,receipt_number_1_5,receipt_number_1_6,receipt_number_1_7,receipt_number_1_8,receipt_number_1_9,receipt_number_2_1,receipt_number_2_10,receipt_number_2_2,receipt_number_2_3,receipt_number_2_4,receipt_number_2_5,receipt_number_2_6,receipt_number_2_7,receipt_number_2_8,receipt_number_2_9,receipt_number_3_1,receipt_number_3_10,receipt_number_3_2,receipt_number_3_3,receipt_number_3_4,receipt_number_3_5,receipt_number_3_6,receipt_number_3_7,receipt_number_3_8,receipt_number_3_9,state_1,state_2,state_3
Jose,Barco,RC,42614537,selenabermudez@example.org,+57 326 294 2545,active,Sede Badajoz,127678.69,73019.73,213063.37,75625.01,139826.82,98070.35,246286.9,109794.22,291017.65,287157.92,168518.11,275806.47,283121.42,213481.16,200712.55,205120.12,217406.38,246223.86,60662.47,162447.2,,,,,,,,,,,Pago anticipado,Cuota adicional,Descuento hermanos,Recargo por mora,Material deportivo,Mensualidad,Descuento hermanos,Matrícula,Material deportivo,Descuento hermanos,Cuota adicional,Recargo por mora,Uniforme,Campamento,Torneo interno,Descuento hermanos,Mensualidad,Torneo interno,Matrícula,Pago anticipado,,,,,,,,,,,Nequi,Daviplata,Daviplata,PSE,Daviplata,Transferencia,Tarjeta,Transferencia,Transferencia,Daviplata,Efectivo,Daviplata,Tarjeta,Tarjeta,PSE,Efectivo,PSE,Transferencia,Tarjeta,Transferencia,,,,,,,,,,,REC-747316,REC-572852,REC-144475,REC-380672,REC-578259,REC-726687,REC-173591,REC-399842,REC-643051,REC-693273,REC-171633,REC-327769,REC-663315,REC-116816,REC-326569,REC-559650,REC-496091,REC-334731,REC-683488,REC-735950,,,,,,,,,,,active,active,
José,Azcona,RC,42655866,rodapaula@example.com,03359907391,active,Sede Badajoz,132114.86,120117.9,149780.0,144213.17,259877.13,240828.32,243242.13,110553.02,276335.26,122633.26,87151.5,82226.07,186070.81,180117.79,114932.42,86864.82,263666.61,75055.06,101377.16,216922.56,,,,,,,,,,,Cuota adicional,Material deportivo,Descuento hermanos,Recargo por mora,Recargo por mora,Recargo por mora,Matrícula,Torneo interno,Cuota adicional,Pago anticipado,Cuota adicional,Descuento hermanos,Torneo interno,Torneo interno,Torneo interno,Descuento hermanos,Torneo interno,Matrícula,Descuento hermanos,Material deportivo,,,,,,,,,,,Efectivo,Nequi,Transferencia,Tarjeta,Efectivo,Nequi,Daviplata,Tarjeta,Tarjeta,Transferencia,Transferencia,Daviplata,Nequi,Nequi,Tarjeta,Nequi,Nequi,Daviplata,Nequi,Tarjeta,,,,,,,,,,,REC-269428,REC-503595,REC-528854,REC-501809,REC-420861,REC-886255,REC-518005,REC-740434,REC-438238,REC-873083,REC-618779,REC-691683,REC-658426,REC-651829,REC-687666,REC-138511,REC-183170,REC-917637,REC-711167,REC-992840,,,,,,,,,,,active,active,
Moreno,Barba,CE,42868828,pacaanton@example.com,3271310554,active,Sede Norte,106695.48,138280.22,171537.1,211168.01,122879.2,282930.37,126020.58,236973.87,90313.68,121311.65,117988.97,195580.95,259083.68,183981.14,72605.22,103755.2,149061.12,57770.52,73681.32,257593.08,,,,,,,,,,,Material deportivo,Pago anticipado,Descuento hermanos,Uniforme,Pago anticipado,Mensualidad,Campamento,Mensualidad,Descuento hermanos,Material deportivo,Recargo por mora,Matrícula,Matrícula,Matrícula,Mensualidad,Uniforme,Material deportivo,Torneo interno,Mensualidad,Matrícula,,,,,,,,,,,Transferencia,PSE,Nequi,PSE,Efectivo,PSE,Tarjeta,Daviplata,Efectivo,Tarjeta,Efectivo,Transferencia,Transferencia,Tarjeta,Nequi,Transferencia,Efectivo,PSE,Efectivo,Tarjeta,,,,,,,,,,,REC-907141,REC-748680,REC-982804,REC-787614,REC-940946,REC-565420,REC-421383,REC-534098,REC-432006,REC-826515,REC-242723,REC-178629,REC-211871,REC-585854,REC-838936,REC-845702,REC-372804,REC-682959,REC-246583,REC-963684,,,,,,,,,,,cancelled,active,
Mónica,Roca,TI,43101783,plazarico@example.net,+57 334 369 8019,inactive,Sede Norte,103759.11,124511.9,111250.75,203563.3,116241.53,212515.81,138535.4,290575.77,120348.14,155312.61,275310.26,130931.53,212130.54,86857.44,62193.16,236839.48,114541.24,108157.29,196956.84,261121.11,100885.06,185223.34,55735.24,174691.33,262955.33,269177.02,119982.93,115387.74,143550.1,122943.38,Matrícula,Torneo interno,Pago anticipado,Descuento hermanos,Campamento,Recargo por mora,Mensualidad,Descuento hermanos,Descuento hermanos,Torneo interno,Pago anticipado,Cuota adicional,Uniforme,Descuento hermanos,Torneo interno,Recargo por mora,Torneo interno,Uniforme,Mensualidad,Pago anticipado,Cuota adicional,Recargo por mora,Cuota adicional,Mensualidad,Cuota adicional,Cuota adicional,Material deportivo,Torneo interno,Uniforme,Mensualidad,PSE,Efectivo,PSE,Daviplata,PSE,Transferencia,Tarjeta,Tarjeta,Transferencia,Transferencia,Daviplata,Nequi,Efectivo,Nequi,Tarjeta,Tarjeta,Daviplata,Daviplata,Transferencia,Transferencia,Tarjeta,Efectivo,Daviplata,Nequi,Nequi,Daviplata,Nequi,Transferencia,Nequi,Efectivo,REC-390121,REC-594072,REC-428373,REC-734864,REC-492517,REC-847490,REC-582025,REC-588354,REC-123621,REC-725761,REC-594538,REC-548614,REC-773920,REC-467293,REC-535110,REC-813034,REC-495858,REC-257851,REC-230413,REC-815641,REC-573284,REC-649372,REC-824920,REC-831184,REC-736055,REC-689605,REC-219248,REC-198127,REC-100958,REC-925316,active,active,active
Olalla,Bayón,CC,43374088,eduardotalavera@example.net,3433803639,active,Sede Ourense,69035.75,163303.58,249876.18,177792.18,57413.76,234521.7,274674.55,102491.83,105422.76,233649.14,73293.56,69406.84,200628.57,78447.82,184515.47,228812.63,186189.71,135308.58,69566.52,228770.05,285581.89,66757.15,123647.09,215456.36,60255.07,281815.56,100972.54,289279.31,257991.74,217634.59,Material deportivo,Cuota adicional,Campamento,Torneo interno,Descuento hermanos,Campamento,Pago anticipado,Uniforme,Descuento hermanos,Mensualidad,Uniforme,Torneo interno,Torneo interno,Mensualidad,Uniforme,Uniforme,Descuento hermanos,Uniforme,Matrícula,Mensualidad,Uniforme,Matrícula,Cuota adicional,Recargo por mora,Campamento,Torneo interno,Mensualidad,Material deportivo,Cuota adicional,Torneo interno,Nequi,Efectivo,Daviplata,Nequi,PSE,PSE,Nequi,PSE,Tarjeta,PSE,Tarjeta,Efectivo,Daviplata,Transferencia,Efectivo,PSE,Nequi,Efectivo,PSE,Nequi,Daviplata,PSE,Tarjeta,Transferencia,Transferencia,Efectivo,Nequi,Nequi,Efectivo,PSE,REC-527101,REC-452907,REC-182349,REC-384105,REC-920577,REC-226988,REC-463152,REC-894577,REC-306415,REC-953154,REC-183812,REC-319007,REC-255733,REC-597869,REC-879758,REC-883275,REC-950396,REC-776781,REC-133605,REC-341098,REC-790767,REC-765600,REC-542749,REC-875244,REC-693461,REC-816020,REC-345075,REC-575932,REC-657126,REC-696615,active,cancelled,active
Roberto,Arias,CC,46173157,mgiron@example.com,+57 348 874 3870,suspended,Sede Badajoz,288513.26,247769.95,115631.45,271365.72,259871.97,115264.75,78904.99,219646.06,171186.67,172298.27,84560.91,137039.75,159215.91,284662.21,295996.43,149871.1,161874.49,249750.22,133341.18,96453.65,,,,,,,,,,,Cuota adicional,Descuento hermanos,Pago anticipado,Torneo interno,Cuota adicional,Uniforme,Campamento,Mensualidad,Recargo por mora,Torneo interno,Pago anticipado,Torneo interno,Matrícula,Matrícula,Campamento,Matrícula,Uniforme,Material deportivo,Mensualidad,Cuota adicional,,,,,,,,,,,Nequi,Tarjeta,Daviplata,PSE,Efectivo,Transferencia,PSE,PSE,PSE,Nequi,Tarjeta,Transferencia,Transferencia,Transferencia,Tarjeta,Efectivo,Tarjeta,Efectivo,PSE,Transferencia,,,,,,,,,,,REC-949857,REC-795432,REC-240773,REC-864094,REC-742294,REC-582246,REC-804860,REC-210951,REC-469628,REC-196869,REC-441858,REC-821332,REC-223572,REC-302140,REC-244140,REC-307352,REC-499949,REC-959958,REC-868146,REC-381416,,,,,,,,,,,active,active,
León,Torralba,TI,46553958,calistacatalan@example.net,332-600-5114,active,Sede Chapinero,216882.71,289132.68,253433.04,261639.23,219193.25,259014.14,211142.02,132783.75,244447.77,125370.46,,,,,,,,,,,,,,,,,,,,,Uniforme,Uniforme,Recargo por mora,Cuota adicional,Matrícula,Material deportivo,Pago anticipado,Torneo interno,Descuento hermanos,Campamento,,,,,,,,,,,,,,,,,,,,,Tarjeta,PSE,PSE,Efectivo,Tarjeta,Nequi,Nequi,Daviplata,Efectivo,Transferencia,,,,,,,,,,,,,,,,,,,,,REC-192054,REC-357802,REC-176266,REC-770945,REC-718586,REC-368381,REC-812234,REC-285672,REC-200584,REC-310758,,,,,,,,,,,,,,,,,,,,,active,,
Ariadna,Sáenz,RC,46840133,genovevablazquez@example.com,3117577164,active,Sede Sur,111486.73,275619.33,154835.66,110954.51,59669.63,293430.28,139545.35,50949.1,121104.08,249388.0,95057.09,100162.21,219238.73,55836.04,166826.78,125862.57,258229.02,191460.31,216909.34,59320.31,104000.93,92761.75,208776.95,229430.77,282033.42,297503.44,107127.1,90590.46,174287.87,63599.48,Material deportivo,Material deportivo,Uniforme,Matrícula,Mensualidad,Recargo por mora,Material deportivo,Material deportivo,Mensualidad,Descuento hermanos,Campamento,Cuota adicional,Descuento hermanos,Material deportivo,Descuento hermanos,Pago anticipado,Material deportivo,Descuento hermanos,Matrícula,Material deportivo,Descuento hermanos,Pago anticipado,Pago anticipado,Recargo por mora,Matrícula,Recargo por mora,Recargo por mora,Mensualidad,Uniforme,Uniforme,Tarjeta,Transferencia,Transferencia,PSE,Transferencia,Nequi,Efectivo,Efectivo,Daviplata,Transferencia,Nequi,Efectivo,PSE,Nequi,Transferencia,Nequi,Tarjeta,Transferencia,Nequi,PSE,Nequi,Efectivo,Transferencia,Nequi,Daviplata,Efectivo,Daviplata,Tarjeta,PSE,Efectivo,REC-981589,REC-831934,REC-933254,REC-523982,REC-927257,REC-153512,REC-991273,REC-917353,REC-340290,REC-716639,REC-876171,REC-539313,REC-978348,REC-327073,REC-534784,REC-617687,REC-467409,REC-732759,REC-483464,REC-264422,REC-937360,REC-243664,REC-691801,REC-904918,REC-964509,REC-538168,REC-878150,REC-945579,REC-510727,REC-620865,active,expired,active
Adelaida,Ricart,CC,48604965,gabaldonpepita@example.com,+57 322 206 9313,active,Sede Centro,216722.22,217259.22,149969.63,103390.19,74207.67,134073.81,233896.31,71461.94,294124.99,96157.62,246567.65,138628.29,198990.43,226726.67,87859.18,117254.95,79406.82,287828.71,238167.79,84113.45,,,,,,,,,,,Matrícula,Campamento,Material deportivo,Descuento hermanos,Recargo por mora,Cuota adicional,Uniforme,Pago anticipado,Torneo interno,Uniforme,Torneo interno,Matrícula,Pago anticipado,Campamento,Uniforme,Material deportivo,Pago anticipado,Torneo interno,Recargo por mora,Material deportivo,,,,,,,,,,,Daviplata,Daviplata,Tarjeta,Tarjeta,Tarjeta,Daviplata,Transferencia,Daviplata,Nequi,PSE,Daviplata,Daviplata,Transferencia,PSE,Tarjeta,Daviplata,Transferencia,Daviplata,Transferencia,PSE,,,,,,,,,,,REC-105689,REC-747849,REC-611202,REC-236149,REC-732633,REC-191175,REC-633236,REC-873302,REC-532721,REC-634303,REC-658319,REC-673762,REC-144275,REC-544221,REC-446084,REC-865146,REC-267880,REC-931363,REC-619685,REC-290975,,,,,,,,,,,active,cancelled,
Roxana,Serrano,RC,48858073,aurelianojuan@example.com,(327) 2776088,active,Sede Sur,143988.86,202293.55,129018.07,62148.09,162845.82,59145.74,102640.91,78993.85,237092.34,178647.79,,,,,,,,,,,,,,,,,,,,,Material deportivo,Cuota adicional,Recargo por mora,Descuento hermanos,Recargo por mora,Uniforme,Descuento hermanos,Matrícula,Mensualidad,Matrícula,,,,,,,,,,,,,,,,,,,,,PSE,Daviplata,Daviplata,Transferencia,PSE,Efectivo,Tarjeta,Nequi,Transferencia,Transferencia,,,,,,,,,,,,,,,,,,,,,REC-722011,REC-523436,REC-803980,REC-333303,REC-731339,REC-278425,REC-645392,REC-489812,REC-487068,REC-130840,,,,,,,,,,,,,,,,,,,,,active,,
Antonio,Camps,RC,49172995,uojeda@example.com,03305089126,active,Sede Centro,231826.83,199771.55,55556.56,295613.84,296608.13,235906.54,204626.81,76654.3,138180.1,59313.86,,,,,,,,,,,,,,,,,,,,,Matrícula,Mensualidad,Pago anticipado,Recargo por mora,Campamento,Matrícula,Uniforme,Mensualidad,Descuento hermanos,Matrícula,,,,,,,,,,,,,,,,,,,,,Tarjeta,Nequi,Nequi,PSE,Daviplata,Nequi,Efectivo,Efectivo,Nequi,Nequi,,,,,,,,,,,,,,,,,,,,,REC-167301,REC-717267,REC-351999,REC-785096,REC-181628,REC-238036,REC-690316,REC-946169,REC-895078,REC-648350,,,,,,,,,,,,,,,,,,,,,cancelled,,
Juan Luis,Carlos,CE,53258988,corteslalo@example.com,03158796514,suspended,Sede Suba,93384.4,149819.55,63128.39,238637.23,256319.53,121285.07,178780.12,287175.62,136737.55,201427.11,55544.75,222268.9,200534.19,75615.13,114757.95,137389.91,65762.31,289417.22,55800.41,190248.05,,,,,,,,,,,Recargo por mora,Mensualidad,Recargo por mora,Cuota adicional,Cuota adicional,Uniforme,Torneo interno,Descuento hermanos,Matrícula,Matrícula,Matrícula,Descuento hermanos,Campamento,Recargo por mora,Material deportivo,Recargo por mora,Recargo por mora,Material deportivo,Torneo interno,Cuota adicional,,,,,,,,,,,Efectivo,Tarjeta,Transferencia,Transferencia,Tarjeta,Nequi,PSE,PSE,Tarjeta,PSE,Nequi,PSE,Nequi,PSE,Tarjeta,Transferencia,Transferencia,Transferencia,Efectivo,Daviplata,,,,,,,,,,,REC-459898,REC-364136,REC-867463,REC-395814,REC-293522,REC-902675,REC-735143,REC-256701,REC-953271,REC-841140,REC-415999,REC-541522,REC-445318,REC-656266,REC-645422,REC-868611,REC-300640,REC-963740,REC-695695,REC-831125,,,,,,,,,,,active,expired,
Ana,Bou,TI,53524491,canalsezequiel@example.net,(313) 6279418,active,Sede Suba,53029.0,193259.3,171197.73,297508.16,117575.45,54247.14,232547.44,270474.22,238377.75,293420.67,84985.78,182273.25,188535.96,210634.51,208326.83,282629.57,64089.15,121867.46,183594.39,162059.21,,,,,,,,,,,Recargo por mora,Pago anticipado,Uniforme,Recargo por mora,Uniforme,Mensualidad,Mensualidad,Torneo interno,Pago anticipado,Torneo interno,Uniforme,Campamento,Uniforme,Uniforme,Pago anticipado,Material deportivo,Matrícula,Recargo por mora,Material deportivo,Torneo interno,,,,,,,,,,,PSE,Nequi,Daviplata,Daviplata,Efectivo,Tarjeta,PSE,Transferencia,PSE,Efectivo,Transferencia,Nequi,Tarjeta,Nequi,PSE,Efectivo,Nequi,Nequi,Transferencia,Transferencia,,,,,,,,,,,REC-963683,REC-453141,REC-241483,REC-319933,REC-144289,REC-960442,REC-357058,REC-380788,REC-616049,REC-622469,REC-221274,REC-423500,REC-801070,REC-463336,REC-546272,REC-916979,REC-233930,REC-206564,REC-970775,REC-341509,,,,,,,,,,,active,expired,
Dulce,Bayo,RC,54410148,sanchocarretero@example.net,349-698-1320,active,Sede Albacete,190548.71,214729.54,173909.64,209432.52,261298.84,153608.57,169991.97,209691.58,295164.18,51899.15,272094.08,56961.77,179304.46,176689.72,68626.7,211115.87,121710.39,237992.06,52112.9,199717.23,,,,,,,,,,,Mensualidad,Campamento,Recargo por mora,Material deportivo,Torneo interno,Recargo por mora,Descuento hermanos,Mensualidad,Uniforme,Matrícula,Uniforme,Matrícula,Material deportivo,Torneo interno,Cuota adicional,Material deportivo,Pago anticipado,Matrícula,Pago anticipado,Descuento hermanos,,,,,,,,,,,PSE,Tarjeta,Nequi,Efectivo,PSE,Efectivo,Efectivo,Transferencia,Daviplata,PSE,Tarjeta,Tarjeta,Tarjeta,Efectivo,Efectivo,PSE,Efectivo,Daviplata,Daviplata,Daviplata,,,,,,,,,,,REC-549277,REC-604404,REC-555512,REC-486401,REC-585553,REC-240478,REC-326343,REC-904976,REC-324342,REC-145362,REC-155384,REC-907355,REC-546607,REC-770623,REC-419100,REC-789051,REC-401544,REC-306719,REC-654718,REC-347567,,,,,,,,,,,active,cancelled,
Eloísa,Vidal,RC,55617282,plazatrinidad@example.net,337-693-9022,active,Sede Centro,51326.25,243851.17,229750.13,273333.84,58940.31,79290.55,219606.7,71471.71,52053.98,196250.3,,,,,,,,,,,,,,,,,,,,,Mensualidad,Torneo interno,Recargo por mora,Pago anticipado,Descuento hermanos,Descuento hermanos,Torneo interno,Material deportivo,Material deportivo,Uniforme,,,,,,,,,,,,,,,,,,,,,Nequi,Daviplata,Nequi,Efectivo,Efectivo,Nequi,Daviplata,Transferencia,Nequi,Daviplata,,,,,,,,,,,,,,,,,,,,,REC-160314,REC-477745,REC-138698,REC-681032,REC-197927,REC-871562,REC-794591,REC-988265,REC-906687,REC-794712,,,,,,,,,,,,,,,,,,,,,active,,
Paulino,Roda,CC,58024342,usolera@example.org,(315) 3726327,active,Sede Badajoz,299325.79,97564.88,173450.17,156586.05,255126.39,225017.72,126508.2,222154.69,141328.11,199321.18,137943.29,181685.72,215611.62,233444.92,206401.88,248010.22,118583.01,222252.52,232510.77,144685.02,,,,,,,,,,,Descuento hermanos,Mensualidad,Cuota adicional,Matrícula,Matrícula,Pago anticipado,Campamento,Descuento hermanos,Torneo interno,Recargo por mora,Recargo por mora,Recargo por mora,Material deportivo,Torneo interno,Cuota adicional,Material deportivo,Recargo por mora,Campamento,Torneo interno,Pago anticipado,,,,,,,,,,,Efectivo,Efectivo,Transferencia,Nequi,Nequi,Nequi,Efectivo,PSE,Efectivo,Daviplata,Transferencia,Tarjeta,Efectivo,Tarjeta,PSE,PSE,Nequi,PSE,Tarjeta,Daviplata,,,,,,,,,,,REC-559097,REC-200318,REC-279004,REC-334277,REC-382286,REC-420737,REC-544283,REC-922017,REC-634418,REC-156844,REC-631508,REC-103489,REC-218864,REC-107407,REC-712514,REC-500643,REC-257689,REC-668142,REC-403538,REC-637143,,,,,,,,,,,expired,active,
Abril,Ayllón,TI,58678896,yessicacarrion@example.com,(312) 3049499,active,Sede Badajoz,80844.05,193748.83,96617.48,268221.52,174776.7,144929.3,230959.04,261202.79,296361.01,88192.8,,,,,,,,,,,,,,,,,,,,,Torneo interno,Campamento,Torneo interno,Cuota adicional,Uniforme,Cuota adicional,Uniforme,Cuota adicional,Mensualidad,Material deportivo,,,,,,,,,,,,,,,,,,,,,Nequi,Daviplata,Nequi,PSE,Nequi,Transferencia,Efectivo,Efectivo,Efectivo,Transferencia,,,,,,,,,,,,,,,,,,,,,REC-700534,REC-334546,REC-579545,REC-306142,REC-950723,REC-570996,REC-585650,REC-907824,REC-570312,REC-622662,,,,,,,,,,,,,,,,,,,,,cancelled,,
Abraham,Lago,CC,58718453,anunciacioncamino@example.net,(304) 9937326,active,Sede Navarra,136958.99,58016.8,275855.11,194761.82,70807.27,100652.36,193587.4,118160.84,267718.2,195420.42,78784.73,56223.5,145164.36,235131.75,268865.43,213340.86,68293.7,81252.47,204133.11,254091.77,60450.13,134775.78,59781.53,222747.04,183811.02,111564.64,252374.33,112434.76,185459.96,134979.06,Torneo interno,Pago anticipado,Cuota adicional,Material deportivo,Recargo por mora,Torneo interno,Uniforme,Matrícula,Descuento hermanos,Torneo interno,Cuota adicional,Torneo interno,Mensualidad,Matrícula,Cuota adicional,Campamento,Torneo interno,Campamento,Descuento hermanos,Mensualidad,Mensualidad,Cuota adicional,Pago anticipado,Pago anticipado,Campamento,Matrícula,Recargo por mora,Pago anticipado,Pago anticipado,Mensualidad,PSE,Transferencia,Nequi,Transferencia,Daviplata,Tarjeta,Tarjeta,Transferencia,PSE,Tarjeta,Tarjeta,Transferencia,Efectivo,Transferencia,Transferencia,Efectivo,Tarjeta,Daviplata,Nequi,Efectivo,Efectivo,Nequi,Nequi,Tarjeta,Efectivo,Transferencia,PSE,Nequi,Daviplata,Efectivo,REC-634772,REC-816601,REC-676569,REC-179707,REC-501679,REC-482704,REC-342584,REC-834908,REC-957420,REC-213532,REC-419747,REC-204137,REC-922587,REC-316263,REC-950602,REC-315523,REC-525367,REC-867847,REC-565366,REC-940190,REC-301945,REC-772737,REC-102528,REC-564234,REC-682543,REC-901436,REC-611215,REC-993048,REC-112497,REC-877073,active,active,active
Piedad,Alcolea,TI,58884978,guzmanflavio@example.com,346-407-9308,active,Sede Norte,272293.03,152725.9,253874.26,146362.98,239294.65,115760.63,96446.78,229276.8,110082.38,57497.73,204554.53,237813.82,69843.52,273759.55,155949.47,296463.57,145426.73,88961.15,55432.78,207476.2,,,,,,,,,,,Torneo interno,Matrícula,Recargo por mora,Cuota adicional,Cuota adicional,Campamento,Campamento,Uniforme,Campamento,Cuota adicional,Torneo interno,Pago anticipado,Torneo interno,Pago anticipado,Material deportivo,Uniforme,Recargo por mora,Descuento hermanos,Recargo por mora,Mensualidad,,,,,,,,,,,Efectivo,Transferencia,Efectivo,Daviplata,Nequi,Nequi,Tarjeta,Tarjeta,Transferencia,PSE,PSE,Transferencia,PSE,Daviplata,Transferencia,Efectivo,Transferencia,Efectivo,PSE,Daviplata,,,,,,,,,,,REC-743171,REC-874494,REC-487558,REC-425852,REC-109888,REC-980700,REC-249703,REC-451725,REC-917765,REC-857053,REC-747534,REC-950143,REC-277962,REC-277171,REC-483494,REC-715269,REC-383726,REC-398973,REC-919204,REC-788466,,,,,,,,,,,active,expired,
Jenaro,Bauzà,TI,59597086,murillocalisto@example.net,03456075395,active,Sede Albacete,87428.99,234958.15,286191.12,236954.83,203132.97,131617.33,102509.87,285955.44,291839.03,290970.81,242889.55,61631.35,160822.26,131918.8,165308.1,97330.39,124008.41,299803.47,282884.38,230648.18,,,,,,,,,,,Cuota adicional,Cuota adicional,Campamento,Uniforme,Recargo por mora,Material deportivo,Torneo interno,Torneo interno,Torneo interno,Uniforme,Material deportivo,Pago anticipado,Material deportivo,Recargo por mora,Cuota adicional,Material deportivo,Campamento,Descuento hermanos,Material deportivo,Material deportivo,,,,,,,,,,,PSE,Transferencia,Transferencia,Efectivo,Daviplata,Daviplata,Nequi,Daviplata,Nequi,Tarjeta,PSE,PSE,Nequi,Efectivo,Daviplata,Daviplata,Tarjeta,PSE,Transferencia,Efectivo,,,,,,,,,,,REC-944031,REC-444581,REC-458829,REC-642605,REC-731551,REC-973097,REC-314412,REC-670437,REC-897314,REC-419498,REC-888954,REC-364616,REC-931602,REC-672544,REC-386059,REC-593270,REC-662113,REC-893019,REC-980594,REC-535647,,,,,,,,,,,active,active,
Gisela,Torrecilla,TI,61536717,goyomartin@example.org,03482788238,active,Sede Centro,202521.77,73066.08,229731.24,63946.51,215805.25,83584.12,169878.17,205891.03,122321.26,89452.46,86656.53,101799.9,166203.37,69909.31,68348.97,187077.39,276369.99,161619.03,226528.87,124372.19,105011.51,114793.25,57801.44,226778.61,297813.57,154868.12,63452.47,213199.89,204578.34,56327.9,Campamento,Cuota adicional,Uniforme,Descuento hermanos,Material deportivo,Torneo interno,Mensualidad,Recargo por mora,Campamento,Descuento hermanos,Recargo por mora,Material deportivo,Recargo por mora,Material deportivo,Mensualidad,Torneo interno,Pago anticipado,Mensualidad,Recargo por mora,Cuota adicional,Recargo por mora,Mensualidad,Cuota adicional,Recargo por mora,Recargo por mora,Pago anticipado,Campamento,Torneo interno,Campamento,Cuota adicional,Nequi,Transferencia,Transferencia,Transferencia,Nequi,Daviplata,Nequi,Transferencia,PSE,PSE,Tarjeta,Efectivo,Transferencia,PSE,Nequi,Nequi,Efectivo,Transferencia,Nequi,Nequi,Transferencia,Efectivo,Efectivo,Transferencia,Efectivo,Nequi,Nequi,Efectivo,Daviplata,Tarjeta,REC-210213,REC-296146,REC-826210,REC-314356,REC-889979,REC-804200,REC-443770,REC-640601,REC-535941,REC-255372,REC-276869,REC-193543,REC-855582,REC-215011,REC-316524,REC-850344,REC-244494,REC-340328,REC-254472,REC-757477,REC-918073,REC-696064,REC-215315,REC-309010,REC-316099,REC-267772,REC-121840,REC-910694,REC-908449,REC-804507,active,active,active
Benigna,Iglesias,CC,61642594,carboisabel@example.net,+57 329 641 5119,active,Sede Albacete,106862.41,204114.2,210324.41,129524.72,86412.25,158080.99,85812.38,232148.52,247410.98,249312.59,,,,,,,,,,,,,,,,,,,,,Recargo por mora,Descuento hermanos,Mensualidad,Material deportivo,Uniforme,Campamento,Mensualidad,Torneo interno,Descuento hermanos,Mensualidad,,,,,,,,,,,,,,,,,,,,,Tarjeta,Nequi,Efectivo,Nequi,Daviplata,PSE,Daviplata,Tarjeta,Tarjeta,Efectivo,,,,,,,,,,,,,,,,,,,,,REC-644192,REC-827228,REC-616643,REC-849101,REC-982937,REC-981549,REC-139778,REC-111112,REC-271469,REC-361301,,,,,,,,,,,,,,,,,,,,,active,,
Maximiano,Julián,CC,62884503,haydeemiralles@example.org,03418190929,active,Sede Centro,269109.27,108404.96,93647.72,71668.67,63291.68,211349.29,258406.82,189482.04,60945.32,114026.39,,,,,,,,,,,,,,,,,,,,,Pago anticipado,Uniforme,Mensualidad,Torneo interno,Cuota adicional,Mensualidad,Material deportivo,Matrícula,Torneo interno,Torneo interno,,,,,,,,,,,,,,,,,,,,,Nequi,Tarjeta,Nequi,Efectivo,PSE,Transferencia,Efectivo,Nequi,Transferencia,Efectivo,,,,,,,,,,,,,,,,,,,,,REC-825077,REC-450917,REC-578012,REC-592311,REC-798422,REC-929046,REC-425445,REC-883547,REC-770580,REC-648247,,,,,,,,,,,,,,,,,,,,,active,,
